City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country
bolungarvik,,,,,,,is
tuktoyaktuk,69.45,-133.04,-6.0,85.0,90.0,5.7,ca
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
portales,34.19,-103.33,13.73,28.0,1.0,4.6,us
najran,17.49,44.13,25.0,15.0,0.0,2.6,sa
qaqortoq,60.72,-46.03,3.0,59.0,75.0,1.0,gl
esperance,-33.87,121.9,13.0,100.0,75.0,4.1,au
saint george,32.38,-64.68,25.67,83.0,75.0,6.7,bm
port hardy,50.7,-127.42,8.0,100.0,90.0,1.0,ca
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
saldanha,-33.01,17.94,20.0,56.0,0.0,6.2,za
valea nucarilor,45.03,28.93,17.89,82.0,100.0,4.6,ro
nizwa,22.93,57.53,24.6,28.0,0.0,2.39,om
corinto,12.48,-87.17,30.0,74.0,40.0,2.1,ni
mahebourg,-20.41,57.7,24.0,78.0,40.0,3.6,mu
bima,-8.47,118.72,24.93,83.0,100.0,1.3,id
thompson,55.74,-97.86,-2.0,79.0,90.0,7.2,ca
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
sitka,57.05,-135.33,8.0,75.0,90.0,4.1,us
tsihombe,,,,,,,mg
bontang,0.13,117.5,25.22,90.0,100.0,0.87,id
hermanus,-34.42,19.23,15.56,82.0,35.0,0.45,za
port lincoln,-34.73,135.87,14.27,85.0,100.0,7.38,au
geraldton,-28.77,114.6,15.0,82.0,1.0,5.7,au
turangi,-39.0,175.93,0.0,98.0,38.0,1.81,nz
arraial do cabo,-22.97,-42.03,26.0,78.0,20.0,7.2,br
bredasdorp,-34.53,20.04,17.0,72.0,36.0,4.1,za
kahului,20.89,-156.47,22.47,73.0,1.0,0.63,us
lagoa,39.05,-27.98,20.81,81.0,100.0,4.45,pt
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
dikson,73.51,80.55,-0.59,92.0,100.0,11.39,ru
burica,,,,,,,pa
hilo,19.73,-155.09,22.66,73.0,1.0,2.6,us
hachinohe,40.5,141.5,8.0,65.0,40.0,4.1,jp
sitka,57.05,-135.33,8.0,75.0,90.0,4.1,us
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
taolanaro,,,,,,,mg
college,64.86,-147.8,-7.03,62.0,90.0,2.1,us
qaqortoq,60.72,-46.03,3.0,59.0,75.0,1.0,gl
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
tuktoyaktuk,69.45,-133.04,-6.0,85.0,90.0,5.7,ca
pangnirtung,66.15,-65.71,5.0,56.0,90.0,7.2,ca
barentsburg,,,,,,,sj
bluff,-46.6,168.33,6.93,59.0,42.0,9.18,nz
dolores,-36.31,-57.68,20.15,57.0,47.0,4.09,ar
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
erdenet,49.03,104.08,-0.6,83.0,0.0,3.05,mn
geraldton,49.73,-86.95,0.0,90.0,90.0,4.1,ca
new norfolk,-42.78,147.06,3.6,71.0,4.0,1.18,au
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
hermanus,-34.42,19.23,15.56,82.0,35.0,0.45,za
dunedin,-45.87,170.5,5.81,71.0,4.0,1.79,nz
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
prainha,-1.8,-53.48,35.05,37.0,30.0,2.35,br
sioux lookout,50.1,-91.92,1.0,55.0,75.0,4.1,ca
barrow,71.29,-156.79,-2.0,63.0,90.0,2.6,us
kaeo,-35.1,173.78,10.56,89.0,27.0,1.34,nz
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
taolanaro,,,,,,,mg
saint-philippe,-21.36,55.77,20.38,78.0,20.0,2.1,re
bengkulu,-3.8,102.27,24.83,87.0,61.0,1.21,id
kavieng,-2.57,150.8,27.77,74.0,34.0,3.64,pg
petropavlovsk-kamchatskiy,53.05,158.65,-1.0,100.0,1.0,2.0,ru
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
mataura,,,,,,,pf
bredasdorp,-34.53,20.04,17.0,72.0,36.0,4.1,za
atuona,-9.8,-139.03,25.68,72.0,30.0,9.8,pf
tuktoyaktuk,69.45,-133.04,-6.0,85.0,90.0,5.7,ca
esperance,-33.87,121.9,13.0,100.0,75.0,4.1,au
padang,-0.95,100.35,26.22,74.0,100.0,1.27,id
hithadhoo,-0.6,73.08,28.18,75.0,36.0,7.2,mv
saskylakh,71.92,114.08,-6.91,96.0,100.0,7.6,ru
bethel,41.37,-73.41,20.83,52.0,1.0,6.2,us
belushya guba,,,,,,,ru
vaitupu,,,,,,,wf
vaini,-21.2,-175.2,23.0,83.0,75.0,3.6,to
kapaa,22.08,-159.32,22.99,94.0,75.0,3.1,us
iqaluit,63.75,-68.51,2.89,93.0,90.0,2.6,ca
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
ritto,35.04,135.98,15.73,68.0,2.0,1.79,jp
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
cape town,-33.93,18.42,16.37,77.0,20.0,9.8,za
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
mataura,,,,,,,pf
pochutla,15.74,-96.47,32.11,55.0,75.0,2.22,mx
podyuga,61.09,40.86,2.3,93.0,99.0,2.77,ru
illoqqortoormiut,,,,,,,gl
victoria,-4.62,55.45,28.0,78.0,40.0,6.2,sc
nenjiang,49.18,125.22,-0.75,86.0,2.0,2.02,cn
constitucion,-35.33,-72.42,18.27,62.0,0.0,3.85,cl
cape town,-33.93,18.42,16.37,77.0,20.0,9.8,za
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
jamestown,-15.94,-5.72,16.25,89.0,92.0,6.6,sh
bairiki,1.33,172.98,28.0,69.0,20.0,5.1,ki
yellowknife,62.46,-114.35,-3.72,79.0,75.0,9.8,ca
cairns,-16.92,145.77,22.04,78.0,40.0,3.6,au
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
saint-philippe,-21.36,55.77,20.38,78.0,20.0,2.1,re
ilulissat,69.22,-51.1,3.0,44.0,75.0,4.1,gl
acajutla,13.59,-89.83,28.84,58.0,20.0,3.1,sv
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
salinopolis,-0.61,-47.36,29.34,65.0,94.0,6.55,br
cape town,-33.93,18.42,16.37,77.0,20.0,9.8,za
onalaska,43.88,-91.24,7.42,42.0,1.0,7.7,us
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
cape town,-33.93,18.42,16.37,77.0,20.0,9.8,za
taburi,,,,,,,ph
port alfred,-33.59,26.89,18.73,85.0,1.0,5.83,za
skalistyy,,,,,,,ru
pisco,-13.7,-76.22,20.0,72.0,0.0,4.1,pe
punta arenas,-53.15,-70.92,13.0,50.0,40.0,15.4,cl
avarua,-21.21,-159.78,21.0,64.0,100.0,2.6,ck
namibe,-15.2,12.15,20.6,78.0,44.0,3.44,ao
east london,-33.02,27.91,19.0,88.0,75.0,8.2,za
laguna,-28.48,-48.78,20.41,68.0,98.0,4.63,br
tasiilaq,65.61,-37.64,4.0,86.0,75.0,4.6,gl
vaini,-21.2,-175.2,23.0,83.0,75.0,3.6,to
kudahuvadhoo,2.67,72.89,28.12,79.0,46.0,8.57,mv
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
lata,,,,,,,sb
vanavara,60.34,102.28,-2.44,93.0,100.0,4.81,ru
tuktoyaktuk,69.45,-133.04,-6.0,85.0,90.0,5.7,ca
sinjar,36.32,41.88,23.48,20.0,0.0,3.34,iq
toliary,,,,,,,mg
atuona,-9.8,-139.03,25.68,72.0,30.0,9.8,pf
pyapon,16.28,95.68,24.9,92.0,39.0,2.2,mm
saint george,32.38,-64.68,25.67,83.0,75.0,6.7,bm
inhambane,-23.86,35.38,22.89,64.0,0.0,3.1,mz
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
dingle,52.14,-10.27,13.0,71.0,30.0,3.1,ie
buraydah,26.33,43.98,28.0,24.0,0.0,2.1,sa
pevek,69.7,170.31,1.16,87.0,94.0,5.67,ru
ozernovskiy,51.5,156.52,6.43,74.0,72.0,7.86,ru
jamestown,-15.94,-5.72,16.25,89.0,92.0,6.6,sh
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
chokurdakh,70.63,147.92,-3.26,99.0,100.0,3.67,ru
taolanaro,,,,,,,mg
lashio,22.93,97.75,19.66,97.0,12.0,0.45,mm
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
port hardy,50.7,-127.42,8.0,100.0,90.0,1.0,ca
hobart,-42.88,147.33,5.32,79.0,90.0,4.1,au
salinas,-2.22,-80.97,26.0,69.0,75.0,4.1,ec
lorengau,-2.02,147.27,27.0,71.0,66.0,1.19,pg
ponta do sol,17.2,-25.09,30.0,70.0,75.0,7.7,cv
doctor pedro p. pena,,,,,,,py
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
te anau,-45.42,167.72,3.83,76.0,67.0,3.85,nz
morant bay,17.88,-76.41,30.81,74.0,20.0,8.7,jm
mount gambier,-37.83,140.77,5.0,93.0,40.0,3.6,au
saleaula,,,,,,,ws
saskylakh,71.92,114.08,-6.91,96.0,100.0,7.6,ru
mahdalynivka,48.92,34.92,13.94,71.0,70.0,2.0,ua
hermanus,-34.42,19.23,15.56,82.0,35.0,0.45,za
esperance,-33.87,121.9,13.0,100.0,75.0,4.1,au
marquette,46.53,-87.63,5.0,73.0,95.0,6.83,us
talnakh,69.49,88.4,-4.0,92.0,75.0,6.0,ru
barentsburg,,,,,,,sj
bloemfontein,-29.12,26.21,26.0,12.0,0.0,1.5,za
tondano,1.3,124.91,23.0,100.0,40.0,0.54,id
shu,43.6,73.76,11.51,43.0,0.0,3.09,kz
saint-philippe,-21.36,55.77,20.38,78.0,20.0,2.1,re
nanortalik,60.14,-45.24,4.8,75.0,100.0,2.57,gl
sao filipe,14.9,-24.5,28.73,70.0,94.0,4.33,cv
hithadhoo,-0.6,73.08,28.18,75.0,36.0,7.2,mv
hilo,19.73,-155.09,22.66,73.0,1.0,2.6,us
kodiak,57.79,-152.41,5.0,80.0,1.0,2.6,us
aras,,,,,,,no
grand river south east,,,,,,,mu
asayita,,,,,,,et
vila franca do campo,37.72,-25.43,21.0,77.0,75.0,2.1,pt
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
banff,51.18,-115.57,0.56,76.0,63.0,2.24,ca
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
marrakesh,31.63,-8.01,25.0,36.0,0.0,2.6,ma
yulara,-25.24,130.99,19.0,25.0,0.0,4.18,au
bluff,-46.6,168.33,6.93,59.0,42.0,9.18,nz
prince albert,53.2,-105.77,-1.0,42.0,20.0,8.2,ca
san patricio,19.22,-104.7,31.07,64.0,0.0,2.01,mx
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
cran-gevrier,45.9,6.1,7.33,75.0,90.0,4.1,fr
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
illoqqortoormiut,,,,,,,gl
chuy,-33.7,-53.46,19.98,68.0,0.0,3.85,uy
izhma,65.01,53.91,0.02,92.0,100.0,2.04,ru
lompoc,34.64,-120.46,26.44,33.0,1.0,3.1,us
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
georgetown,-7.93,-14.42,22.78,78.0,65.0,6.94,sh
saskylakh,71.92,114.08,-6.91,96.0,100.0,7.6,ru
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
nioro,,,,,,,ml
wladyslawowo,54.79,18.4,9.23,93.0,90.0,4.1,pl
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
price,39.6,-110.81,13.0,17.0,1.0,3.1,us
atuona,-9.8,-139.03,25.68,72.0,30.0,9.8,pf
eura,61.13,22.13,7.0,70.0,77.0,3.1,fi
bayir,,,,,,,jo
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
chokurdakh,70.63,147.92,-3.26,99.0,100.0,3.67,ru
arraial do cabo,-22.97,-42.03,26.0,78.0,20.0,7.2,br
east london,-33.02,27.91,19.0,88.0,75.0,8.2,za
hobart,-42.88,147.33,5.32,79.0,90.0,4.1,au
upernavik,72.79,-56.15,-1.95,85.0,3.0,2.46,gl
gorontalo,0.54,123.06,24.74,86.0,100.0,0.86,id
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
hermanus,-34.42,19.23,15.56,82.0,35.0,0.45,za
pontal,-21.02,-48.04,25.0,65.0,75.0,3.1,br
bluff,-46.6,168.33,6.93,59.0,42.0,9.18,nz
tsihombe,,,,,,,mg
miraflores,1.34,-71.95,34.73,44.0,39.0,0.7,co
guerrero negro,27.98,-114.06,29.04,45.0,83.0,0.7,mx
tiksi,71.69,128.87,-8.22,97.0,92.0,0.86,ru
hobart,-42.88,147.33,5.32,79.0,90.0,4.1,au
muscat,23.61,58.59,26.0,44.0,0.0,2.6,om
port lincoln,-34.73,135.87,14.27,85.0,100.0,7.38,au
hobart,-42.88,147.33,5.32,79.0,90.0,4.1,au
punta arenas,-53.15,-70.92,13.0,50.0,40.0,15.4,cl
jamestown,-15.94,-5.72,16.25,89.0,92.0,6.6,sh
illoqqortoormiut,,,,,,,gl
cao bang,22.67,106.25,19.84,91.0,100.0,1.38,vn
saint-philippe,-21.36,55.77,20.38,78.0,20.0,2.1,re
leningradskiy,69.38,178.42,0.68,90.0,100.0,4.76,ru
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
mar del plata,-38.0,-57.56,15.0,72.0,0.0,5.1,ar
punta arenas,-53.15,-70.92,13.0,50.0,40.0,15.4,cl
chuy,-33.7,-53.46,19.98,68.0,0.0,3.85,uy
taolanaro,,,,,,,mg
the valley,18.22,-63.06,30.0,74.0,40.0,9.3,ai
booue,-0.09,11.94,25.14,87.0,72.0,1.53,ga
kota tinggi,1.74,103.9,27.59,88.0,20.0,0.5,my
shunyi,40.12,116.65,13.33,81.0,82.0,2.0,cn
bubaque,11.28,-15.83,28.36,72.0,24.0,3.07,gw
mataura,,,,,,,pf
saskylakh,71.92,114.08,-6.91,96.0,100.0,7.6,ru
hualmay,-11.1,-77.61,20.96,63.0,11.0,3.85,pe
bredasdorp,-34.53,20.04,17.0,72.0,36.0,4.1,za
hermanus,-34.42,19.23,15.56,82.0,35.0,0.45,za
nayudupeta,13.9,79.9,28.0,68.0,89.0,2.37,in
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
faya,,,,,,,td
te anau,-45.42,167.72,3.83,76.0,67.0,3.85,nz
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
paytug,,,,,,,uz
coihaique,-45.58,-72.07,18.0,39.0,40.0,4.1,cl
illoqqortoormiut,,,,,,,gl
junction city,39.03,-96.83,12.94,35.0,1.0,5.7,us
naze,28.37,129.48,24.0,78.0,75.0,2.6,jp
anloga,5.79,0.9,28.0,78.0,20.0,5.7,gh
huaibei,33.97,116.79,15.56,94.0,100.0,1.57,cn
avarua,-21.21,-159.78,21.0,64.0,100.0,2.6,ck
rocha,-34.48,-54.33,21.62,63.0,0.0,4.62,uy
atuona,-9.8,-139.03,25.68,72.0,30.0,9.8,pf
panzhihua,26.59,101.71,19.1,73.0,8.0,1.41,cn
tuatapere,-46.13,167.68,5.38,68.0,66.0,3.99,nz
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
new norfolk,-42.78,147.06,3.6,71.0,4.0,1.18,au
kysyl-syr,63.9,122.76,-4.6,98.0,71.0,2.0,ru
bafia,4.75,11.23,23.72,87.0,18.0,1.17,cm
jamestown,-15.94,-5.72,16.25,89.0,92.0,6.6,sh
severo-kurilsk,50.68,156.12,6.1,78.0,27.0,8.87,ru
longyearbyen,78.22,15.64,-3.0,86.0,75.0,1.0,sj
pangody,65.85,74.49,-0.99,94.0,80.0,6.13,ru
bethel,41.37,-73.41,20.83,52.0,1.0,6.2,us
dingle,52.14,-10.27,13.0,71.0,30.0,3.1,ie
shieli,44.17,66.75,14.29,36.0,0.0,4.62,kz
mataura,,,,,,,pf
svetlyy,54.67,20.13,8.65,93.0,75.0,5.0,ru
hilo,19.73,-155.09,22.66,73.0,1.0,2.6,us
lavrentiya,65.58,-171.0,3.33,93.0,100.0,6.14,ru
illoqqortoormiut,,,,,,,gl
mathbaria,22.29,89.96,26.63,85.0,0.0,1.29,bd
punta arenas,-53.15,-70.92,13.0,50.0,40.0,15.4,cl
east london,-33.02,27.91,19.0,88.0,75.0,8.2,za
sao joao da barra,-21.64,-41.05,28.0,61.0,75.0,9.3,br
hobart,-42.88,147.33,5.32,79.0,90.0,4.1,au
san quintin,30.48,-115.95,27.58,40.0,23.0,1.54,mx
mataura,,,,,,,pf
kapaa,22.08,-159.32,22.99,94.0,75.0,3.1,us
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
hithadhoo,-0.6,73.08,28.18,75.0,36.0,7.2,mv
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
hovd,48.01,91.64,1.71,66.0,65.0,1.59,mn
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
belushya guba,,,,,,,ru
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
airai,,,,,,,pw
esfahan,32.66,51.68,12.0,9.0,0.0,1.0,ir
cherskiy,68.75,161.3,-0.11,93.0,100.0,3.42,ru
khatanga,71.97,102.5,-9.27,97.0,100.0,1.91,ru
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
sentyabrskiy,,,,,,,ru
bredasdorp,-34.53,20.04,17.0,72.0,36.0,4.1,za
namibe,-15.2,12.15,20.6,78.0,44.0,3.44,ao
atar,20.52,-13.05,37.23,18.0,12.0,6.13,mr
victoria,-4.62,55.45,28.0,78.0,40.0,6.2,sc
bredasdorp,-34.53,20.04,17.0,72.0,36.0,4.1,za
dingle,52.14,-10.27,13.0,71.0,30.0,3.1,ie
anadyr,64.75,177.48,5.0,93.0,20.0,14.0,ru
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
brae,60.4,-1.35,9.0,87.0,40.0,6.2,gb
yellowknife,62.46,-114.35,-3.72,79.0,75.0,9.8,ca
mataura,,,,,,,pf
salalah,17.02,54.09,27.0,88.0,20.0,2.1,om
ojinaga,29.57,-104.42,25.4,18.0,1.0,6.7,mx
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
mayo,63.59,-135.9,-4.0,73.0,75.0,4.1,ca
wagar,16.15,36.2,33.91,16.0,1.0,2.42,sd
hobart,-42.88,147.33,5.32,79.0,90.0,4.1,au
sitka,57.05,-135.33,8.0,75.0,90.0,4.1,us
bluff,-46.6,168.33,6.93,59.0,42.0,9.18,nz
aklavik,68.22,-135.01,-7.0,92.0,75.0,1.89,ca
bandarbeyla,9.49,50.81,27.55,77.0,32.0,7.19,so
castro,-42.47,-73.77,16.58,39.0,13.0,3.1,cl
saldanha,-33.01,17.94,20.0,56.0,0.0,6.2,za
whitley bay,55.04,-1.45,8.87,75.0,20.0,2.1,gb
portland,-38.33,141.6,8.89,72.0,28.0,5.58,au
taolanaro,,,,,,,mg
chokurdakh,70.63,147.92,-3.26,99.0,100.0,3.67,ru
airai,,,,,,,pw
pacific grove,36.62,-121.92,26.05,24.0,1.0,1.5,us
yerbogachen,61.28,108.01,1.99,95.0,100.0,4.97,ru
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
christchurch,-43.53,172.63,4.86,80.0,0.0,5.1,nz
karauzyak,,,,,,,uz
moerai,-22.43,-151.33,22.32,86.0,86.0,7.99,pf
yuzhno-yeniseyskiy,,,,,,,ru
taolanaro,,,,,,,mg
samfya,-11.36,29.56,26.58,48.0,49.0,5.1,zm
cabra,13.89,120.05,28.08,80.0,99.0,6.5,ph
tuktoyaktuk,69.45,-133.04,-6.0,85.0,90.0,5.7,ca
kupang,-10.17,123.58,25.83,78.0,77.0,2.47,id
tuktoyaktuk,69.45,-133.04,-6.0,85.0,90.0,5.7,ca
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
geraldton,-28.77,114.6,15.0,82.0,1.0,5.7,au
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
punta arenas,-53.15,-70.92,13.0,50.0,40.0,15.4,cl
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
carnarvon,-24.87,113.63,19.0,82.0,75.0,10.3,au
rio grande,-32.03,-52.1,19.2,76.0,17.0,3.92,br
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
yellowknife,62.46,-114.35,-3.72,79.0,75.0,9.8,ca
flinders,-34.58,150.86,18.89,79.0,75.0,0.45,au
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
torbay,47.67,-52.73,14.47,100.0,90.0,8.7,ca
east london,-33.02,27.91,19.0,88.0,75.0,8.2,za
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
nikolskoye,59.7,30.79,5.0,85.0,75.0,3.0,ru
leh,34.17,77.58,5.41,42.0,0.0,1.26,in
